,职位ID,职位名,薪资范围,公司ID,公司名,职位链接,发布时间,猎头名称,猎头ID,工作经验,公司主页,公司描述,岗位亮点
138,3093607,PHP工程师,8k-12k,78133,墨智网络,https://www.lagou.com/jobs/3093607.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-07,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/478ed8a4775578b88ceebaf5d80e9391104562bcbcd10ec0.html,"移动互联网,电商 / 未融资 / 15-50人",“发展空间大 公司稳定 项目好 有潜力”
139,6772216,php开发工程师(初级）,7k-13k,674930,快决测,https://www.lagou.com/jobs/6772216.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-07,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/2136e91abde041d94e751e090c785efc153425ca39496de3.html,软件服务｜咨询 / B轮 / 50-150人,"“人工智能,氛围积极,扁平化管理,产品牛”"
140,8805974,php高级开发工程师,15k-25k,59278,安码科技,https://www.lagou.com/jobs/8805974.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-07,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/f1ce051301a0891a236aed2d58c7788b6af013b436f00e04.html,信息安全 / B轮 / 50-150人,“高平台 晋升快”
141,8931878,php开发工程师,7k-12k,123465360,华企时代,https://www.lagou.com/jobs/8931878.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-06,,,经验1-3年 / 大专,https://www.lagou.com/gongsi/v1/df74d594b8c81023243b38b005469af39cd456d8cf51b0e749c72d22312b3358.html,软件服务｜咨询 / 未融资 / 15-50人,“无限发展空间”
142,8925288,PHP开发实习生,5k-8k,445651,财盈通,https://www.lagou.com/jobs/8925288.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-05,,,经验1年以下 / 本科,https://www.lagou.com/gongsi/v1/2857b2ab8c76ddb0d954aa670668bd4f3c57fb2c91d178d8.html,"软件服务｜咨询,IT技术服务｜咨询,营销服务｜咨询 / 不需要融资 / 500-2000人",“跨境项目 成长快 领导nice”
143,8929794,php开发工程师,15k-23k,122382180,三顾人力资源,https://www.lagou.com/jobs/8929794.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-05,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/4d4b5639b56b769f1b96459349691e93f06425b453af03c86887477232b50f7d.html,"工具类产品,专业服务｜咨询 / 未融资 / 2000人以上",“扁平管理 成长空间大 福利好”
144,8774731,php开发工程师,6k-12k,123307246,宇恩科技,https://www.lagou.com/jobs/8774731.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-05,,,经验1-3年 / 不限,https://www.lagou.com/gongsi/v1/e11a7e36ada0f66be99cb602d483cc9daa3b34bf59b378470d4716eb65a000d6.html,"IT技术服务｜咨询,网络通信,营销服务｜咨询 / 不需要融资 / 少于15人",“包午餐 朝九晚六”
145,8820739,php/go开发工程师,20k-40k,2474,滴滴,https://www.lagou.com/jobs/8820739.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-04,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/3aa004ab9d97e3baa4c9a62266c50208da8db5ec671127f5.html,旅游｜出行 / 不需要融资 / 2000人以上,“团队氛围好，技术大牛多。”
146,8927782,php后端开发工程师,4k-8k,121793065,星扬科技,https://www.lagou.com/jobs/8927782.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-04,,,经验1年以下 / 不限,https://www.lagou.com/gongsi/v1/913650dfe85ed1dc01a7eba89b4a0d24848bb508f1a31eed2cfc8c55bdb0d445.html,软件开发 / 未融资 / 少于15人,“全勤奖”
147,8927650,PHP开发工程师,12k-18k,121835208,维堰服务,https://www.lagou.com/jobs/8927650.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-04,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/6684c495c3a7ce751454e313dbc05273901c863579c4d9f108a8f5dcf0d8fd79.html,软件服务｜咨询 / 不需要融资 / 150-500人,“六险一金/部门团建/年度旅游”
148,5495587,php开发工程师,12k-17k,331684,大舟网络,https://www.lagou.com/jobs/5495587.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-04,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/5d91b94d0176d2ae2f67d65338841c5c975e76b9bbf7cf38.html,/ 上市公司 / 50-150人,“五险一金+双休+各种福利”
149,8925789,php开发工程师,15k-23k,123312676,合瑞至管理咨询,https://www.lagou.com/jobs/8925789.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-04,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/b97414ded316018e73754ca656b282bbb8e5d2cb606fb4d1d286663e10ff69d1.html,专业服务｜咨询 / 未融资 / 少于15人,“平台大 福利好”
150,8270043,php研发工程师,20k-40k,1575,百度,https://www.lagou.com/jobs/8270043.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-07,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/ac83735a4e818bdc7a98c51955c0c14373e4053ded99c16d.html,"人工智能服务,信息检索,科技金融 / 上市公司 / 2000人以上",“发展空间大”
151,8502944,php/go应用开发工程师,15k-25k,451,腾讯,https://www.lagou.com/jobs/8502944.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-07,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/44cbc0a38779bbcb511801cb2f5cc48b.html,"游戏,社交媒体,音频｜视频媒体 / 上市公司 / 2000人以上",“大平台，行业前沿，发展机会大，学习资源多”
152,8578466,php开发工程师,10k-15k,445651,财盈通,https://www.lagou.com/jobs/8578466.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-05,,,经验1-3年 / 大专,https://www.lagou.com/gongsi/v1/2c41e484ae9d49a4786950f8714833daca25a4fa9852012d.html,"软件服务｜咨询,IT技术服务｜咨询,营销服务｜咨询 / 不需要融资 / 500-2000人",“跨境项目 成长快 领导nice”
153,8922406,PHP开发工程师/深圳,12k-18k,121835208,维堰服务,https://www.lagou.com/jobs/8922406.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-04,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/c132cd40ddf70d38ce6dfc1722e49fe509d869c734897c0beb619660428ef019.html,软件服务｜咨询 / 不需要融资 / 150-500人,“六险一金/部门团建/年度旅游”
154,8925456,php程序员,6k-8k,45751,大汽派,https://www.lagou.com/jobs/8925456.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-04,,,经验1-3年 / 大专,https://www.lagou.com/gongsi/v1/aff910a7be421bc19a1d2cebf4a2d4c7ddb0a85dfb9542d3.html,"移动互联网,电商 / 天使轮 / 50-150人",“年轻开发团队”
155,8925373,php开发工程师,15k-30k,121847946,金磁石,https://www.lagou.com/jobs/8925373.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-04,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/1a37f7158a066069375cb4eebd9c0e8d095e1505fa316b44e470a566713c0b62.html,企业服务 / 不需要融资 / 50-150人,“《爆米科技》猎头职位”
156,7813990,php高级开发工程师,8k-15k,120945198,美哆网络,https://www.lagou.com/jobs/7813990.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-04,,,经验1-3年 / 大专,https://www.lagou.com/gongsi/v1/15ece07e4d446dc634faf16bb1f88c2cb8922c64a842938d0928908629619375.html,医疗｜保健｜美容 / 未融资 / 150-500人,“绩效奖金、带薪年假、定期体检、五险一金”
157,8617885,php后端开发工程师,8k-16k,43859,东方蜘蛛,https://www.lagou.com/jobs/8617885.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-04,,,经验1-3年 / 大专,https://www.lagou.com/gongsi/v1/1ed06e216279142258ed940e5e4f47babba7a1a0c952aa5e.html,"移动互联网,社交 / 未融资 / 15-50人",“五险一金 加班补助 带薪年假”
158,8770205,php开发工程师,8k-12k,123303087,莘荣科技,https://www.lagou.com/jobs/8770205.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-04,,,经验1-3年 / 大专,https://www.lagou.com/gongsi/v1/26fd729cebb12ed469036118af485e7283d8a3aec6f79075489a778e7a75dd51.html,软件服务｜咨询 / 天使轮 / 15-50人,"“教育风口,成长快,广州**”"
159,8921998,php开发工程师,15k-23k,123146037,北京如秄,https://www.lagou.com/jobs/8921998.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-03,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/1ed63371a4ca0afa24d57d542dc5905d39f7b06f4d57c2ca73894344bc8b2d93.html,"工具类产品,IT技术服务｜咨询,专业服务｜咨询 / 不需要融资 / 50-150人",“扁平管理 成长空间大 福利好”
160,8921204,php开发工程师,10k-15k,30605,赢时胜软件,https://www.lagou.com/jobs/8921204.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-03,,,经验1-3年 / 大专,https://www.lagou.com/gongsi/v1/01875233625ad440a15a1af7ab47b681f28638cc5afdb941.html,软件服务｜咨询 / 上市公司 / 500-2000人,“五险一金 加班费 外派津贴”
161,8850018,php开发工程师,11k-16k,307964,Firestorm,https://www.lagou.com/jobs/8850018.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-03,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/96a190fd368e28a9872cedc46fbc9fc290cb0c1019282d01.html,科技金融 / A轮 / 50-150人,“技术牛人多 项目提成高 工作氛围好”
162,8784112,php,6k-10k,123148503,中融信通,https://www.lagou.com/jobs/8784112.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-03,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/7983e4f0b861627343c78b48ad7b36e034741a16f55ec84f5d836d854c23ce54.html,"软件服务｜咨询,IT技术服务｜咨询,网络通信 / 不需要融资 / 15-50人",“五险一金，带薪年休假，周末双休”
163,4600276,php工程师,4k-8k,191660,洛壹网络,https://www.lagou.com/jobs/4600276.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-03,,,经验1-3年 / 大专,https://www.lagou.com/gongsi/v1/ac21bab1e018df868db47e0f18866958a26f902735b25a30.html,移动互联网 / 未融资 / 15-50人,"“学习机会多,自由安排,工作氛围好,沟通好”"
164,8229655,php实习生,3k-4k,7535,值得买科技,https://www.lagou.com/jobs/8229655.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-03,,,经验1年以下 / 大专,https://www.lagou.com/gongsi/v1/d56e44458fb7a0122e319d83aaf71aee124ea99b1533e8a4.html,消费生活 / 上市公司 / 500-2000人,“六险一金 双休 培训机会多 办公环境好”
165,7230297,php研发工程师,20k-40k,1575,百度,https://www.lagou.com/jobs/7230297.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-07,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/f58928d968d24382911bf331c08e7386d33ca33c8d5c0f25.html,"人工智能服务,信息检索,科技金融 / 上市公司 / 2000人以上",“良好的发展前景，优渥的福利待遇”
