,职位ID,职位名,薪资范围,公司ID,公司名,职位链接,发布时间,猎头名称,猎头ID,工作经验,公司主页,公司描述,岗位亮点
256,8969423,大数据开发工程师,20k-40k,123403938,东聘信息,https://www.lagou.com/jobs/8969423.html?show=18e8073f7d404fca98852914081537ff,2021-06-11,,,经验3-5年 / 本科,https://www.lagou.com/gongsi/v1/70ae40ab1114d3cffc0a6df10a2f9a60655d17caf3aeb7e86ca5bb9a372b9180.html,"工具类产品,IT技术服务｜咨询,专业服务｜咨询 / 不需要融资 / 15-50人",“可带团队，发展前景大”
257,6978665,系统架构师,18k-25k,464086,长新大数据,https://www.lagou.com/jobs/6978665.html?show=18e8073f7d404fca98852914081537ff,2021-06-10,,,经验5-10年 / 本科,https://www.lagou.com/gongsi/v1/9b49a05a421090e9bde0c086885c38d08d5422a854cf9f9a.html,数据服务 / 不需要融资 / 50-150人,“五险一金，员工餐，两贴，定期体检”
258,8932572,RD01-C++工程师（终端系统方向）,10k-18k,484985,拉勾猎头,https://www.lagou.com/jobs/8932572.html?show=18e8073f7d404fca98852914081537ff,2021-06-06,,,经验3-5年 / 本科,https://www.lagou.com/gongsi/v1/65b1a2c030fd73e65951bea329b745086a694e90f43e2cef.html,专业服务｜咨询 / D轮及以上 / 500-2000人,“背景稳定”
259,5463685,高级软件测试工程师,13k-20k,492169,融智盛维,https://www.lagou.com/jobs/5463685.html?show=18e8073f7d404fca98852914081537ff,2021-06-11,,,经验5-10年 / 本科,https://www.lagou.com/gongsi/v1/7c833127661ed4fab6821a3ba35caabeb0539cc3fac62d60.html,"软件服务｜咨询,数据服务｜咨询 / 不需要融资 / 50-150人",“周末双休 入职五险一金 各种福利”
260,8611956,python开发工程师,13k-25k,30648,绿盟科技,https://www.lagou.com/jobs/8611956.html?show=18e8073f7d404fca98852914081537ff,2021-04-13,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/8ee1a0587652d3b79bc5d21d8173b75746cd0c2dd9cea6f8.html,信息安全 / 上市公司 / 500-2000人,“虚拟化网络安全仿真平台”
261,8877682,大力教育瓜瓜龙客服（双休）,5k-10k,62,字节跳动,https://www.lagou.com/jobs/8877682.html?show=18e8073f7d404fca98852914081537ff,06:16发布,,,经验不限 / 大专,https://www.lagou.com/gongsi/v1/ed7ca95b9a5e9106afcd43dc3fca2885.html,"内容资讯,短视频 / D轮及以上 / 2000人以上","“下午茶,六险一金,团队氛围好,带薪休假”"
262,8877676,字节跳动双休客服岗,5k-10k,62,字节跳动,https://www.lagou.com/jobs/8877676.html?show=18e8073f7d404fca98852914081537ff,06:16发布,,,经验不限 / 大专,https://www.lagou.com/gongsi/v1/014744d528118d2115a8b4332ad5d55e.html,"内容资讯,短视频 / D轮及以上 / 2000人以上","“六险一金,团队氛围好,晋升空间大,餐补”"
263,8711886,软件开发工程师,12k-20k,67300,ThoughtWorks,https://www.lagou.com/jobs/8711886.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/3b74f426eb6f274a5718a766731bfc06b3e4f92281ee20f8.html,"软件服务｜咨询,IT技术服务｜咨询 / 不需要融资 / 2000人以上",“全额社保公积金 双休 14薪 外企大平台”
264,7234157,测试,8k-13k,28807,森果,https://www.lagou.com/jobs/7234157.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/77846901b60cd90ae23ea5cff00f21b4742e8fcc470d6702.html,IT技术服务｜咨询 / 天使轮 / 50-150人,“技术大牛，项目奖金，自主研发，提供mac”
265,6658012,运维工程师,9k-18k,28807,森果,https://www.lagou.com/jobs/6658012.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验不限 / 本科,https://www.lagou.com/gongsi/v1/7155830926c55d449e525da977c15577e7af2c6d1bea5836.html,IT技术服务｜咨询 / 天使轮 / 50-150人,“技术大牛，项目奖金，自主研发，提供mac”
